[Name]
Series 1 at E:/fh-w cfd/fhwcfd_files/dp0/FFF/Fluent/microphone.ard

[Data]
Time [ s ],Pressure [ Pa ]
2.35180631e-02, 2.79667750e+05
2.35524289e-02, 2.80050625e+05
2.35867929e-02, 2.80417438e+05
2.36211568e-02, 2.80780344e+05
2.36555208e-02, 2.81169344e+05
2.36898847e-02, 2.81530156e+05
2.37242505e-02, 2.81885188e+05
2.37586144e-02, 2.82260188e+05
2.37929784e-02, 2.82568031e+05
2.38273423e-02, 2.82913500e+05
2.38617063e-02, 2.83278313e+05
2.38960721e-02, 2.83609156e+05
2.39304360e-02, 2.83911563e+05
2.39647999e-02, 2.84206375e+05
2.39991639e-02, 2.84540031e+05
2.40335278e-02, 2.84829781e+05
2.40678936e-02, 2.85132469e+05
2.41022576e-02, 2.85432656e+05
2.41366215e-02, 2.85705188e+05
2.41709854e-02, 2.85983531e+05
2.42053494e-02, 2.86261875e+05
2.42397152e-02, 2.86536563e+05
2.42740791e-02, 2.86796875e+05
2.43084431e-02, 2.87023594e+05
2.43428070e-02, 2.87289344e+05
2.43771710e-02, 2.87526281e+05
2.44115368e-02, 2.87742594e+05
2.44459007e-02, 2.87968188e+05
2.44802646e-02, 2.88181250e+05
2.45146286e-02, 2.88404500e+05
2.45489925e-02, 2.88594969e+05
2.45833565e-02, 2.88797875e+05
2.46177223e-02, 2.88998375e+05
2.46520862e-02, 2.89183563e+05
2.46864501e-02, 2.89334438e+05
2.47208141e-02, 2.89527250e+05
2.47551780e-02, 2.89687250e+05
2.47895438e-02, 2.89827750e+05
2.48239078e-02, 2.89979031e+05
2.48582717e-02, 2.90116156e+05
2.48926356e-02, 2.90265094e+05
2.49269996e-02, 2.90381531e+05
2.49613654e-02, 2.90509219e+05
2.49957293e-02, 2.90619531e+05
2.50300933e-02, 2.90695219e+05
2.50644572e-02, 2.90810844e+05
2.50988211e-02, 2.90913281e+05
2.51331870e-02, 2.90997594e+05
2.51675509e-02, 2.91078875e+05
2.52019148e-02, 2.91160063e+05
2.52362788e-02, 2.91222188e+05
2.52706427e-02, 2.91266500e+05
2.53050085e-02, 2.91319125e+05
2.53393725e-02, 2.91368656e+05
2.53737364e-02, 2.91405250e+05
2.54081003e-02, 2.91467813e+05
2.54424643e-02, 2.91503625e+05
2.54768301e-02, 2.91520469e+05
